,Mobile_name,Colour,Price,Rating,No_of_Ratings,RAM,ROM,Screen_size,Rear_Camera,Front_camera,Battery(mAh),Processor,Brand
0,Redmi 8A Dual ,Sea Blue,6999,4.3,16539,2,32,15.8,13,8MP,5000,Qualcomm Snapdragon 439 ,Mi
1,Redmi 8A Dual ,Midnight Grey,6999,4.3,16539,2,32,15.8,13,8MP,5000,Qualcomm Snapdragon 439 ,Mi
2,Redmi 8A Dual ,Sky White,6999,4.3,16539,2,32,15.8,13,8MP,5000,Qualcomm Snapdragon 439 ,Mi
3,Redmi 9A ,SeaBlue,7038,4.3,3073,2,32,16.59,13,,5000,,Mi
4,Redmi 9A ,Nature Green,7249,4.3,3073,2,32,16.59,13,,5000,,Mi
5,Redmi 9A ,Midnight Black,7285,4.3,3073,2,32,16.59,13,,5000,,Mi
6,Redmi 6 ,Black,7290,4.4,552049,3,32,13.84,12,5MP,3000,2.0 GHz Mediatek P22 Octacore ,Mi
7,Redmi 6A ,Gold,7399,4.3,53070,2,16,13.84,13,,3000,,Mi
8,Redmi 6A ,Black,7399,4.3,53070,2,16,13.84,13,5MP,3000,,Mi
9,Redmi 6A ,Blue,7399,4.3,53070,2,16,13.84,13,5MP,3000,,Mi
10,Redmi 9A ,Sea Blue,7888,4.3,1195,3,32,16.59,13,5MP,5000,MediaTek Helio G25 ,Mi
11,Redmi 6A ,Gold,7989,4.3,53070,2,32,13.84,13,,3000,Mediateck ,Mi
12,Redmi 6A ,Blue,7999,4.3,53070,2,32,13.84,13,,3000,Mediateck ,Mi
13,Redmi 6A ,Black,7999,4.3,53070,2,32,13.84,13,,3000,Mediateck ,Mi
14,Redmi 8A Dual ,Midnight Grey,8388,4.2,9049,3,32,15.8,13,8MP,5000,Qualcomm Snapdragon 439 ,Mi
15,Redmi 9A ,Nature Green,8390,4.3,1195,3,32,16.59,13,5MP,5000,MediaTek Helio G25 ,Mi
16,Redmi 6 ,Gold,8399,4.4,552049,3,32,13.84,12,5MP,3000,2.0 GHz Mediatek P22 Octacore ,Mi
17,Redmi 9A ,Midnight Black,8420,4.3,1195,3,32,16.59,13,5MP,5000,MediaTek Helio G25 ,Mi
18,Redmi 6 ,Blue,8475,4.4,552049,3,32,13.84,12,5MP,3000,2.0 GHz Mediatek P22 Octacore ,Mi
19,Redmi 6 ,Black,8499,4.4,552049,3,64,13.84,12,5MP,3000,2.0 GHz Mediatek P22 Octacore ,Mi
20,Redmi 8A Dual ,Sea Blue,8547,4.2,9049,3,32,15.8,13,8MP,5000,Qualcomm Snapdragon 439 ,Mi
21,Redmi 8A Dual ,Sky White,8578,4.2,9049,3,64,15.8,13,8MP,5000,Qualcomm Snapdragon 439 ,Mi
22,Redmi 8A Dual ,Sky White,8590,4.2,9049,3,32,15.8,13,8MP,5000,Qualcomm Snapdragon 439 ,Mi
23,Redmi 8A Dual ,Midnight Grey,8634,4.2,9049,3,64,15.8,13,8MP,5000,Qualcomm Snapdragon 439 ,Mi
24,Redmi 8A Dual ,Sea Blue,8770,4.2,9049,3,64,15.8,13,8MP,5000,Qualcomm Snapdragon 439 ,Mi
25,Redmi Note 5 ,Black,8990,4.4,352749,3,32,15.21,12,5MP,4000,Qualcomm Snapdragon 625 ,Mi
26,Redmi Y2 ,Rose Gold,8998,4.5,118807,3,32,15.21,12,16MP,3080,Qualcomm Snapdragon 625 ,Mi
27,Redmi 7 ,Eclipse Black,9000,4.3,13646,2,32,15.9,12,,4000,,Mi
28,Redmi 7 ,Lunar Red,9000,4.3,13646,2,32,15.9,12,,4000,,Mi
29,Redmi Y2 ,Blue,9188,4.5,118807,3,32,15.21,12,16MP,3080,Qualcomm Snapdragon 625 ,Mi
30,Redmi Note 5 ,Gold,9190,4.4,352749,3,32,15.21,12,5MP,4000,Qualcomm Snapdragon 625 ,Mi
31,Redmi 5 ,Rose Gold,9199,4.3,4716,4,64,14.48,12,5MP,3300,Qualcomm Snapdragon 450 ,Mi
32,Redmi 5 ,Lake Blue,9299,4.3,4716,4,64,14.48,12,5MP,3300,,Mi
33,Redmi 7 ,Comet Blue,9299,4.3,13646,2,32,15.9,12,,4000,,Mi
34,Redmi 9 ,Sky Blue,9437,4.2,3501,4,64,16.59,13,8MP,5000,MediaTek Helio G35 ,Mi
35,Redmi 4 ,Gold,9490,4.2,8113,3,32,12.7,13,5MP,4100,Snapdragon 435 ,Mi
36,Redmi 9 ,Carbon Black,9498,4.2,3501,4,64,16.59,13,5MP,5000,MediaTek Helio G35 ,Mi
37,Redmi 6 ,Blue,9500,4.4,552049,3,64,13.84,12,5MP,3000,2.0 GHz Mediatek P22 Octacore ,Mi
38,Redmi 6 ,Gold,9500,4.4,552049,3,64,13.84,12,5MP,3000,2.0 GHz Mediatek P22 Octacore ,Mi
39,Redmi 9 ,Sporty Orange,9550,4.2,3501,4,64,16.59,13,8MP,5000,MediaTek Helio G35 ,Mi
40,Redmi 7 ,Lunar Red,9899,4.4,6476,3,32,15.9,12,8MP,4000,Qualcomm Snapdragon 632 ,Mi
41,Redmi Note 4 ,Black,9900,4.4,641806,3,32,13.97,13,5MP,4100,Qualcomm Snapdragon 625 64-bit Octa Core 2GHz ,Mi
42,Redmi Y2 ,Dark Grey,9998,4.5,118807,3,32,15.21,12,16MP,3080,Qualcomm Snapdragon 625 ,Mi
43,Redmi Note 7 ,Onyx Black,9999,4.4,131520,3,32,16.0,12,13MP,4000,Qualcomm Snapdragon 660 AIE ,Mi
44,Redmi Note 7S ,Sapphire Blue,9999,4.4,300872,3,32,16.0,48,13MP,4000,Qualcomm Snapdragon 660 AIE ,Mi
45,Redmi Note 4 ,Gold,9999,4.4,641806,3,32,13.97,13,5MP,4100,Qualcomm Snapdragon 625 64-bit Octa Core 2GHz ,Mi
46,Redmi 6 ,Rose Gold,10490,4.4,552049,3,64,13.84,12,5MP,3000,2.0 GHz Mediatek P22 Octacore ,Mi
47,Redmi 7 ,Eclipse Black,10498,4.4,6476,3,32,15.9,12,8MP,4000,Qualcomm Snapdragon 632 ,Mi
48,Redmi 5 ,Black,10499,4.3,4716,4,64,14.48,12,5MP,3300,Qualcomm Snapdragon 450 ,Mi
49,Redmi Note 7 ,Sapphire Blue,10499,4.4,131520,3,32,16.0,12,13MP,4000,Qualcomm Snapdragon 660 AIE ,Mi
50,Redmi Note 5 ,Blue,10500,4.4,352749,3,32,15.21,12,5MP,4000,Qualcomm Snapdragon 625 ,Mi
51,Redmi Y2 ,Dark Grey,10680,4.4,26613,4,64,15.21,12,16MP,3080,Qualcomm Snapdragon 625 ,Mi
52,Redmi 9 ,Sky Blue,10759,4.2,3501,4,128,16.59,13,8MP,5000,MediaTek Helio G35 ,Mi
53,Redmi Y3 ,Elegant Blue,10842,4.3,19887,3,32,15.9,12,32MP,4000,Qualcomm Snapdragon 632 ,Mi
54,Mi A2 ,Gold,10960,4.2,33829,4,64,15.21,20,20MP,3010,Qualcomm Snapdragon 660 AIE ,Mi
55,Redmi 9 Prime ,MatteBlack,10972,4.3,3795,4,64,16.59,13,,5020,,Mi
56,Redmi 9 Prime ,Space Blue,10989,4.3,3795,4,64,16.59,13,,5020,,Mi
57,Redmi Y2 ,Blue,10990,4.4,26613,4,64,15.21,12,16MP,3080,Qualcomm Snapdragon 625 ,Mi
58,Redmi Y2 ,Gold,10990,4.4,26613,4,64,15.21,12,16MP,3080,Qualcomm Snapdragon 625 ,Mi
59,Redmi Y3 ,Bold Red,10990,4.3,19887,3,32,15.9,12,32MP,4000,Qualcomm Snapdragon 632 ,Mi
60,Redmi 6 Pro ,Gold,10995,4.3,10952,3,32,14.83,12,5MP,4000,Qualcomm Snapdragon 625 ,Mi
61,Redmi Note 5 ,Rose Gold,10999,4.4,352749,3,32,15.21,12,5MP,4000,Qualcomm Snapdragon 625 ,Mi
62,Redmi 8 ,Emerald Green,10999,4.4,883217,4,64,15.8,12,8MP,5000,Qualcomm Snapdragon 439 ,Mi
63,Redmi 6 Pro ,Gold,10999,4.3,10401,4,64,14.83,12,5MP,4000,Qualcomm Snapdragon 625 ,Mi
64,Redmi 8 ,Sapphire Blue,10999,4.4,883217,4,64,15.8,12,8MP,5000,Qualcomm Snapdragon 439 ,Mi
65,Redmi 8 ,Onyx Black,10999,4.4,883217,4,64,15.8,12,8MP,5000,Qualcomm Snapdragon 439 ,Mi
66,Redmi 8 ,Ruby Red,10999,4.4,883217,4,64,15.8,12,8MP,5000,Qualcomm Snapdragon 439 ,Mi
67,Redmi 9 Prime ,SunriseFlare,11080,4.3,3795,4,64,16.59,13,,5020,,Mi
68,Redmi 6 Pro ,Black,11269,4.3,10952,3,32,14.83,12,5MP,4000,Qualcomm Snapdragon 625 ,Mi
